layer_size_1,layer_size_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,roc_auc,pr_auc
32,32,0.7954545454545454,0.9318181818181818,0.9210526315789473,0.8536585365853658,0.8636363636363636,0.7341303483857977,0.9385330578512396,0.9410142273600732
32,64,0.8409090909090909,0.9090909090909091,0.9024390243902439,0.8705882352941177,0.875,0.7517493868524991,0.9436983471074379,0.9461365660765875
32,128,0.75,0.8409090909090909,0.825,0.7857142857142856,0.7954545454545454,0.59336610396393,0.8760330578512396,0.8738776904733844
32,256,0.8181818181818182,0.8636363636363636,0.8571428571428571,0.8372093023255814,0.8409090909090909,0.6825236327899351,0.9137396694214877,0.9272983785719173
64,32,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.7272727272727273,0.9075413223140496,0.91926201503352
64,64,0.7954545454545454,0.9318181818181818,0.9210526315789473,0.8536585365853658,0.8636363636363636,0.7341303483857977,0.934400826446281,0.9421545461080347
64,128,0.8181818181818182,0.8409090909090909,0.8372093023255814,0.8275862068965518,0.8295454545454546,0.6592611948214577,0.8925619834710744,0.906821492372602
64,256,0.8181818181818182,0.8409090909090909,0.8372093023255814,0.8275862068965518,0.8295454545454546,0.6592611948214577,0.881198347107438,0.8526365441426986
128,32,0.7954545454545454,0.8409090909090909,0.8333333333333334,0.8139534883720929,0.8181818181818182,0.6370220572706061,0.90599173553719,0.907830407866145
128,64,0.8409090909090909,0.8636363636363636,0.8604651162790697,0.8505747126436781,0.8522727272727273,0.7047274841194893,0.9178719008264463,0.9228935756845174
128,128,0.7727272727272727,0.8863636363636364,0.8717948717948718,0.8192771084337349,0.8295454545454546,0.6633880657639324,0.9302685950413223,0.9277983496155838
128,256,0.8181818181818182,0.8636363636363636,0.8571428571428571,0.8372093023255814,0.8409090909090909,0.6825236327899351,0.9158057851239669,0.9215830678931287
256,32,0.8181818181818182,0.7727272727272727,0.782608695652174,0.8,0.7954545454545454,0.5915204817512771,0.9189049586776858,0.9235189824759706
256,64,0.7954545454545454,0.8636363636363636,0.8536585365853658,0.8235294117647058,0.8295454545454546,0.6606282490521962,0.9225206611570248,0.9281181481608654
256,128,0.8181818181818182,0.9090909090909091,0.9,0.8571428571428572,0.8636363636363636,0.7302967433402214,0.9400826446280992,0.939682782424041
256,256,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.7272727272727273,0.9400826446280992,0.9366231464836834
