FPR,TPR
0.0,0.0
0.0,0.022727272727272728
0.0,0.45454545454545453
0.022727272727272728,0.45454545454545453
0.022727272727272728,0.5681818181818182
0.045454545454545456,0.5681818181818182
0.045454545454545456,0.7727272727272727
0.06818181818181818,0.7727272727272727
0.06818181818181818,0.8409090909090909
0.11363636363636363,0.8409090909090909
0.11363636363636363,0.8636363636363636
0.13636363636363635,0.8636363636363636
0.13636363636363635,0.8863636363636364
0.18181818181818182,0.8863636363636364
0.18181818181818182,0.9090909090909091
0.20454545454545456,0.9090909090909091
0.20454545454545456,0.9318181818181818
0.25,0.9318181818181818
0.25,0.9545454545454546
0.4318181818181818,0.9545454545454546
0.4318181818181818,0.9772727272727273
0.5681818181818182,0.9772727272727273
0.5681818181818182,1.0
1.0,1.0
