layer_dim_1,layer_dim_2,Sensitivity,Specificity,PPV,F1 Score,Accuracy,MCC,ROC AUC,PR AUC
16,32,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,0.8863636363636364,0.7727272727272727,0.9674586776859504,0.9717827513327717
16,64,0.8181818181818182,0.8636363636363636,0.8571428571428571,0.8372093023255814,0.8409090909090909,0.6825236327899351,0.915289256198347,0.872112132901417
16,128,0.8409090909090909,0.9090909090909091,0.9024390243902439,0.8705882352941177,0.875,0.7517493868524991,0.962293388429752,0.9635465247617314
16,256,0.8636363636363636,0.8863636363636364,0.8837209302325582,0.8735632183908046,0.875,0.7501937734175209,0.9369834710743801,0.9547582383139591
32,32,0.8863636363636364,0.8636363636363636,0.8666666666666667,0.8764044943820225,0.875,0.7501937734175209,0.9653925619834711,0.9683061169934486
32,64,0.8636363636363636,0.9318181818181818,0.926829268292683,0.8941176470588236,0.8977272727272727,0.7973099557526506,0.9643595041322314,0.969193837046253
32,128,0.9090909090909091,0.8636363636363636,0.8695652173913043,0.888888888888889,0.8863636363636364,0.7735267838285931,0.9514462809917356,0.9605666147134071
32,256,0.8863636363636364,0.9318181818181818,0.9285714285714286,0.9069767441860465,0.9090909090909091,0.8190283593479222,0.9622933884297521,0.9713483358239414
64,32,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.8636363636363636,0.7272727272727273,0.9421487603305785,0.957996169512391
64,64,0.8181818181818182,0.9772727272727273,0.972972972972973,0.8888888888888891,0.8977272727272727,0.8057161971532291,0.9519628099173554,0.9514167944443965
64,128,0.8863636363636364,0.8863636363636364,0.8863636363636364,0.8863636363636365,0.8863636363636364,0.7727272727272727,0.9380165289256198,0.954146982914086
64,256,0.8636363636363636,0.9090909090909091,0.9047619047619048,0.8837209302325582,0.8863636363636364,0.7735267838285931,0.9628099173553719,0.9686794758972199
